#audio_path
#syntax_ver:1.0
#time[%], volume[%], azimuth[degree], elevation[degree], distance[metre], spherical(s)/cartesian(c)
0,100,0.000,0.000,3.000,s
0.5,100,7.000,5.481,3.004,s
1,100,14.000,10.881,3.035,s
1.5,100,21.000,16.119,3.091,s
2,100,28.000,21.116,3.173,s
2.5,100,35.000,25.800,3.276,s
3,100,42.000,30.098,3.398,s
3.5,100,49.000,33.949,3.531,s
4,100,56.000,37.294,3.670,s
4.5,100,63.000,40.084,3.802,s
5,100,70.000,42.277,3.918,s
5.5,100,77.000,43.840,4.005,s
6,100,84.000,44.750,4.054,s
6.5,100,91.000,44.994,4.057,s
7,100,98.000,44.567,4.013,s
7.5,100,105.000,43.477,3.926,s
8,100,112.000,41.740,3.805,s
8.5,100,119.000,39.381,3.660,s
9,100,126.000,36.435,3.504,s
9.5,100,133.000,32.947,3.348,s
10,100,140.000,28.968,3.200,s
10.5,100,147.000,24.558,3.067,s
11,100,154.000,19.782,2.954,s
11.5,100,161.000,14.711,2.864,s
12,100,168.000,9.421,2.798,s
12.5,100,175.000,3.991,2.757,s
13,100,182.000,-1.498,2.741,s
13.5,100,189.000,-6.965,2.750,s
14,100,196.000,-12.329,2.784,s
14.5,100,203.000,-17.508,2.842,s
15,100,210.000,-22.428,2.921,s
15.5,100,217.000,-27.013,3.019,s
16,100,224.000,-31.195,3.132,s
16.5,100,231.000,-34.914,3.255,s
17,100,238.000,-38.112,3.380,s
17.5,100,245.000,-40.743,3.497,s
18,100,252.000,-42.766,3.595,s
18.5,100,259.000,-44.153,3.664,s
19,100,266.000,-44.883,3.696,s
19.5,100,273.000,-44.944,3.686,s
20,100,280.000,-44.336,3.634,s
20.5,100,287.000,-43.067,3.544,s
21,100,294.000,-41.157,3.426,s
21.5,100,301.000,-38.634,3.289,s
22,100,308.000,-35.536,3.145,s
22.5,100,315.000,-31.908,3.003,s
23,100,322.000,-27.806,2.871,s
23.5,100,329.000,-23.289,2.754,s
24,100,336.000,-18.425,2.656,s
24.5,100,343.000,-13.287,2.579,s
25,100,350.000,-7.951,2.524,s
25.5,100,357.000,-2.497,2.492,s
26,100,4.000,3.137,2.484,s
26.5,100,11.000,8.582,2.498,s
27,100,18.000,13.899,2.534,s
27.5,100,25.000,19.009,2.591,s
28,100,32.000,23.836,2.667,s
28.5,100,39.000,28.307,2.760,s
29,100,46.000,32.358,2.864,s
29.5,100,53.000,35.926,2.975,s
30,100,60.000,38.959,3.086,s
30.5,100,67.000,41.412,3.186,s
31,100,74.000,43.249,3.266,s
31.5,100,81.000,44.441,3.318,s
32,100,88.000,44.971,3.335,s
32.5,100,95.000,44.832,3.312,s
33,100,102.000,44.025,3.253,s
33.5,100,109.000,42.562,3.162,s
34,100,116.000,40.466,3.049,s
34.5,100,123.000,37.767,2.921,s
35,100,130.000,34.505,2.790,s
35.5,100,137.000,30.730,2.664,s
36,100,144.000,26.497,2.547,s
36.5,100,151.000,21.869,2.446,s
37,100,158.000,16.916,2.362,s
37.5,100,165.000,11.710,2.298,s
38,100,172.000,6.331,2.254,s
38.5,100,179.000,0.857,2.230,s
39,100,186.000,-4.630,2.227,s
39.5,100,193.000,-10.048,2.244,s
40,100,200.000,-15.316,2.281,s
40.5,100,207.000,-20.356,2.336,s
41,100,214.000,-25.093,2.407,s
41.5,100,221.000,-29.456,2.492,s
42,100,228.000,-33.381,2.586,s
42.5,100,235.000,-36.808,2.685,s
43,100,242.000,-39.687,2.780,s
43.5,100,249.000,-41.975,2.864,s
44,100,256.000,-43.639,2.928,s
44.5,100,263.000,-44.652,2.965,s
45,100,270.000,-45.000,2.969,s
45.5,100,277.000,-44.678,2.938,s
46,100,284.000,-43.691,2.876,s
46.5,100,291.000,-42.053,2.787,s
47,100,298.000,-39.788,2.680,s
47.5,100,305.000,-36.931,2.564,s
48,100,312.000,-33.525,2.447,s
48.5,100,319.000,-29.618,2.335,s
49,100,326.000,-25.271,2.234,s
49.5,100,333.000,-20.548,2.146,s
50,100,340.000,-15.518,2.076,s
