#audio_path
#syntax_ver:1.0
#time[%], volume[%], azimuth[degree], elevation[degree], distance[metre], spherical(s)/cartesian(c)
00.00,100,90,5,1.487,s
01.00,100,89,6,1.438,s
02.00,100,89,7,1.403,s
03.00,100,90,6,1.482,s
04.00,100,91,7,1.541,s
05.00,100,93,7,1.566,s
06.00,100,94,9,1.575,s
07.00,100,96,9,1.607,s
08.00,100,99,11,1.647,s
09.00,100,101,13,1.718,s
10.00,100,103,16,1.769,s
11.00,100,106,21,1.810,s
12.00,100,108,24,1.813,s
13.00,100,111,27,1.881,s
14.00,100,114,30,1.943,s
15.00,100,116,33,1.910,s
16.00,100,119,37,1.867,s
17.00,100,122,40,1.801,s
18.00,100,125,44,1.722,s
19.00,100,128,45,1.643,s
20.00,100,130,45,1.615,s
21.00,100,133,45,1.564,s
22.00,100,136,45,1.486,s
23.00,100,139,45,1.407,s
24.00,100,142,45,1.342,s
25.00,100,145,45,1.301,s
26.00,100,147,45,1.238,s
27.00,100,150,45,1.159,s
28.00,100,153,45,1.108,s
29.00,100,156,45,1.034,s
30.00,100,159,45,1.000,s
31.00,100,162,45,1.000,s
32.00,100,165,45,1.000,s
33.00,100,168,45,1.000,s
34.00,100,170,45,1.000,s
35.00,100,173,44,1.000,s
36.00,100,176,44,1.001,s
37.00,100,179,45,1.000,s
38.00,100,182,45,1.000,s
39.00,100,185,40,1.000,s
40.00,100,188,38,1.000,s
41.00,100,190,37,1.000,s
42.00,100,193,37,1.000,s
43.00,100,196,37,1.000,s
44.00,100,199,37,1.000,s
45.00,100,202,38,1.000,s
46.00,100,205,40,1.010,s
47.00,100,208,43,1.000,s
48.00,100,211,43,1.014,s
49.00,100,213,45,1.011,s
50.00,100,216,44,1.012,s
51.00,100,219,45,1.049,s
52.00,100,222,45,1.060,s
53.00,100,225,45,1.139,s
54.00,100,228,45,1.200,s
55.00,100,231,45,1.214,s
56.00,100,234,45,1.192,s
57.00,100,236,45,1.113,s
58.00,100,239,45,1.065,s
59.00,100,242,45,1.031,s
60.00,100,245,45,1.000,s
61.00,100,248,45,1.000,s
62.00,100,251,45,1.000,s
63.00,100,254,45,1.000,s
64.00,100,257,45,1.000,s
65.00,100,259,45,1.000,s
66.00,100,262,45,1.000,s
67.00,100,265,45,1.000,s
68.00,100,268,45,1.051,s
69.00,100,271,45,1.092,s
70.00,100,274,43,1.112,s
71.00,100,277,42,1.162,s
72.00,100,280,41,1.219,s
73.00,100,282,42,1.264,s
74.00,100,285,42,1.336,s
75.00,100,288,39,1.307,s
76.00,100,291,36,1.312,s
77.00,100,294,34,1.233,s
78.00,100,297,29,1.173,s
79.00,100,300,25,1.146,s
80.00,100,303,21,1.203,s
81.00,100,305,18,1.224,s
82.00,100,308,15,1.220,s
83.00,100,311,14,1.255,s
84.00,100,314,14,1.279,s
85.00,100,317,9,1.308,s
86.00,100,320,5,1.371,s
87.00,100,323,3,1.415,s
88.00,100,326,-2,1.465,s
89.00,100,328,-5,1.503,s
90.00,100,331,-10,1.512,s
91.00,100,334,-14,1.508,s
92.00,100,337,-17,1.494,s
93.00,100,340,-18,1.503,s
94.00,100,343,-18,1.543,s
95.00,100,346,-19,1.622,s
96.00,100,349,-20,1.657,s
97.00,100,351,-20,1.618,s
98.00,100,354,-21,1.680,s
99.00,100,357,-21,1.725,s
100.00,100,360,-20,1.739,s
