#audio_path
#syntax_ver:1.0
#time[%], volume[%], azimuth[degree], elevation[degree], distance[metre], spherical(s)/cartesian(c)
00.00,100,0,18,1.891,s
01.00,100,1,19,1.910,s
02.00,100,1,21,1.919,s
03.00,100,2,20,1.903,s
04.00,100,4,21,1.824,s
05.00,100,5,24,1.745,s
06.00,100,6,26,1.666,s
07.00,100,8,26,1.602,s
08.00,100,9,27,1.566,s
09.00,100,11,26,1.560,s
10.00,100,13,27,1.539,s
11.00,100,15,28,1.500,s
12.00,100,16,29,1.469,s
13.00,100,18,29,1.483,s
14.00,100,20,30,1.478,s
15.00,100,22,31,1.469,s
16.00,100,23,31,1.423,s
17.00,100,25,32,1.479,s
18.00,100,27,32,1.491,s
19.00,100,29,31,1.481,s
20.00,100,31,31,1.451,s
21.00,100,33,35,1.444,s
22.00,100,35,39,1.469,s
23.00,100,36,44,1.548,s
24.00,100,38,45,1.578,s
25.00,100,40,45,1.633,s
26.00,100,42,45,1.695,s
27.00,100,44,45,1.719,s
28.00,100,46,45,1.708,s
29.00,100,48,41,1.712,s
30.00,100,49,42,1.726,s
31.00,100,51,42,1.756,s
32.00,100,53,41,1.785,s
33.00,100,55,42,1.791,s
34.00,100,57,42,1.833,s
35.00,100,59,40,1.866,s
36.00,100,61,40,1.945,s
37.00,100,62,40,1.994,s
38.00,100,64,39,2.059,s
39.00,100,66,38,2.111,s
40.00,100,68,39,2.117,s
41.00,100,70,41,2.114,s
42.00,100,72,45,2.074,s
43.00,100,74,45,2.113,s
44.00,100,76,44,2.123,s
45.00,100,77,41,2.114,s
46.00,100,79,38,2.091,s
47.00,100,81,36,2.012,s
48.00,100,83,34,1.977,s
49.00,100,85,31,1.898,s
50.00,100,87,29,1.838,s
51.00,100,89,28,1.811,s
52.00,100,90,29,1.755,s
53.00,100,92,30,1.727,s
54.00,100,94,31,1.648,s
55.00,100,96,35,1.575,s
56.00,100,98,37,1.522,s
57.00,100,100,37,1.457,s
58.00,100,102,39,1.443,s
59.00,100,104,44,1.432,s
60.00,100,105,45,1.384,s
61.00,100,107,45,1.344,s
62.00,100,109,45,1.331,s
63.00,100,111,45,1.288,s
64.00,100,113,45,1.234,s
65.00,100,115,45,1.225,s
66.00,100,117,45,1.194,s
67.00,100,118,45,1.158,s
68.00,100,120,45,1.237,s
69.00,100,122,45,1.306,s
70.00,100,124,45,1.379,s
71.00,100,126,44,1.453,s
72.00,100,128,43,1.436,s
73.00,100,130,41,1.357,s
74.00,100,131,42,1.316,s
75.00,100,133,43,1.314,s
76.00,100,135,43,1.329,s
77.00,100,137,42,1.341,s
78.00,100,139,40,1.262,s
79.00,100,141,38,1.183,s
80.00,100,143,35,1.156,s
81.00,100,145,30,1.235,s
82.00,100,146,26,1.310,s
83.00,100,148,24,1.355,s
84.00,100,150,22,1.367,s
85.00,100,152,23,1.400,s
86.00,100,154,24,1.409,s
87.00,100,156,22,1.363,s
88.00,100,158,21,1.301,s
89.00,100,159,22,1.261,s
90.00,100,161,23,1.250,s
91.00,100,163,24,1.172,s
92.00,100,165,24,1.178,s
93.00,100,167,19,1.150,s
94.00,100,169,15,1.144,s
95.00,100,171,12,1.161,s
96.00,100,173,11,1.166,s
97.00,100,174,9,1.219,s
98.00,100,176,6,1.287,s
99.00,100,178,3,1.303,s
100.00,100,180,2,1.309,s
