#audio_path
#syntax_ver:1.0
#time[%], volume[%], azimuth[degree], elevation[degree], distance[metre], spherical(s)/cartesian(c)
00.00,100,276,8,1.345,s
01.00,100,283,6,1.392,s
02.00,100,278,6,1.439,s
03.00,100,274,4,1.459,s
04.00,100,278,3,1.416,s
05.00,100,279,5,1.369,s
06.00,100,274,4,1.352,s
07.00,100,272,3,1.330,s
08.00,100,269,6,1.331,s
09.00,100,270,8,1.336,s
10.00,100,271,9,1.289,s
11.00,100,278,10,1.255,s
12.00,100,276,7,1.216,s
13.00,100,278,4,1.169,s
14.00,100,282,1,1.145,s
15.00,100,278,4,1.114,s
16.00,100,276,4,1.147,s
17.00,100,275,4,1.194,s
18.00,100,274,3,1.232,s
19.00,100,280,2,1.231,s
20.00,100,281,1,1.252,s
21.00,100,279,1,1.263,s
22.00,100,277,1,1.290,s
23.00,100,279,2,1.321,s
24.00,100,279,5,1.314,s
25.00,100,279,3,1.296,s
26.00,100,279,0,1.269,s
27.00,100,278,1,1.260,s
28.00,100,277,4,1.266,s
29.00,100,270,5,1.267,s
30.00,100,265,5,1.244,s
31.00,100,263,3,1.264,s
32.00,100,270,0,1.243,s
33.00,100,272,3,1.266,s
34.00,100,272,4,1.286,s
35.00,100,276,5,1.299,s
36.00,100,283,2,1.295,s
37.00,100,285,0,1.342,s
38.00,100,290,-3,1.376,s
39.00,100,290,-5,1.402,s
40.00,100,289,-8,1.449,s
41.00,100,287,-9,1.496,s
42.00,100,285,-8,1.541,s
43.00,100,285,-10,1.588,s
44.00,100,288,-11,1.612,s
45.00,100,291,-11,1.652,s
46.00,100,298,-11,1.699,s
47.00,100,304,-12,1.704,s
48.00,100,311,-11,1.693,s
49.00,100,312,-10,1.648,s
50.00,100,314,-10,1.666,s
51.00,100,321,-10,1.691,s
52.00,100,324,-7,1.675,s
53.00,100,331,-6,1.671,s
54.00,100,329,-7,1.713,s
55.00,100,328,-5,1.721,s
56.00,100,325,-2,1.702,s
57.00,100,326,-4,1.670,s
58.00,100,326,-5,1.669,s
59.00,100,329,-3,1.682,s
60.00,100,329,-3,1.685,s
61.00,100,334,-1,1.638,s
62.00,100,341,2,1.623,s
63.00,100,341,3,1.583,s
64.00,100,347,3,1.582,s
65.00,100,351,0,1.600,s
66.00,100,357,-3,1.561,s
67.00,100,357,-5,1.538,s
68.00,100,353,-8,1.531,s
69.00,100,350,-8,1.484,s
70.00,100,357,-6,1.465,s
71.00,100,359,-6,1.439,s
72.00,100,366,-6,1.485,s
73.00,100,370,-5,1.492,s
74.00,100,377,-7,1.517,s
75.00,100,382,-7,1.509,s
76.00,100,387,-6,1.522,s
77.00,100,392,-8,1.512,s
78.00,100,394,-6,1.465,s
79.00,100,396,-4,1.418,s
80.00,100,395,-3,1.412,s
81.00,100,392,-1,1.459,s
82.00,100,389,2,1.412,s
83.00,100,394,2,1.407,s
84.00,100,395,5,1.379,s
85.00,100,389,6,1.357,s
86.00,100,384,6,1.310,s
87.00,100,377,9,1.290,s
88.00,100,376,10,1.271,s
89.00,100,375,12,1.224,s
90.00,100,381,13,1.246,s
91.00,100,386,13,1.264,s
92.00,100,383,12,1.309,s
93.00,100,388,14,1.337,s
94.00,100,392,13,1.341,s
95.00,100,395,16,1.388,s
96.00,100,393,17,1.369,s
97.00,100,386,18,1.359,s
98.00,100,385,21,1.393,s
99.00,100,386,20,1.395,s
100.00,100,390,19,1.420,s
