#audio_path
#syntax_ver:1.0
#time[%], volume[%], azimuth[degree], elevation[degree], distance[metre], spherical(s)/cartesian(c)
0,100,45.000,0.000,2.828,s
5,100,46.548,0.000,2.617,s
10,100,48.366,0.000,2.408,s
15,100,50.528,0.000,2.202,s
20,100,53.130,0.000,2.000,s
25,100,56.310,0.000,1.803,s
30,100,60.255,0.000,1.612,s
35,100,65.225,0.000,1.432,s
40,100,71.565,0.000,1.265,s
45,100,79.695,0.000,1.118,s
50,100,90.000,0.000,1.000,s
55,100,100.305,0.000,1.118,s
60,100,108.435,0.000,1.265,s
65,100,114.775,0.000,1.432,s
70,100,119.745,0.000,1.612,s
75,100,123.690,0.000,1.803,s
80,100,126.870,0.000,2.000,s
85,100,129.472,0.000,2.202,s
90,100,131.634,0.000,2.408,s
95,100,133.452,0.000,2.617,s
100,100,135.000,0.000,2.828,s
