#audio_path
#syntax_ver:1.0
#time[%], volume[%], azimuth[degree], elevation[degree], distance[metre], spherical(s)/cartesian(c)
00.00,100,50,15,1.413,s
01.00,100,48,14,1.422,s
02.00,100,46,13,1.415,s
03.00,100,44,12,1.412,s
04.00,100,41,12,1.413,s
05.00,100,37,11,1.400,s
06.00,100,33,11,1.398,s
07.00,100,29,11,1.396,s
08.00,100,23,12,1.381,s
09.00,100,17,13,1.358,s
10.00,100,11,15,1.322,s
11.00,100,4,17,1.307,s
12.00,100,-3,19,1.302,s
13.00,100,-10,22,1.308,s
14.00,100,-17,24,1.318,s
15.00,100,-24,26,1.334,s
16.00,100,-31,28,1.333,s
17.00,100,-36,29,1.339,s
18.00,100,-42,30,1.358,s
19.00,100,-46,30,1.359,s
20.00,100,-49,30,1.349,s
21.00,100,-51,28,1.344,s
22.00,100,-51,26,1.322,s
23.00,100,-51,23,1.290,s
24.00,100,-49,20,1.245,s
25.00,100,-45,16,1.219,s
26.00,100,-41,11,1.205,s
27.00,100,-35,6,1.179,s
28.00,100,-29,1,1.174,s
29.00,100,-22,-4,1.168,s
30.00,100,-14,-9,1.151,s
31.00,100,-6,-13,1.132,s
32.00,100,2,-17,1.120,s
33.00,100,9,-20,1.100,s
34.00,100,17,-21,1.073,s
35.00,100,23,-22,1.039,s
36.00,100,29,-22,1.001,s
37.00,100,33,-20,1.000,s
38.00,100,37,-17,1.000,s
39.00,100,39,-13,1.000,s
40.00,100,39,-8,1.010,s
41.00,100,39,-2,1.014,s
42.00,100,36,4,1.003,s
43.00,100,33,12,1.000,s
44.00,100,28,19,1.000,s
45.00,100,22,27,1.000,s
46.00,100,15,35,1.000,s
47.00,100,7,42,1.000,s
48.00,100,-1,45,1.000,s
49.00,100,-9,45,1.000,s
50.00,100,-18,45,1.000,s
51.00,100,-26,45,1.000,s
52.00,100,-35,45,1.000,s
53.00,100,-42,45,1.000,s
54.00,100,-49,45,1.000,s
55.00,100,-55,45,1.000,s
56.00,100,-60,45,1.000,s
57.00,100,-64,45,1.007,s
58.00,100,-67,45,1.000,s
59.00,100,-69,45,1.000,s
60.00,100,-69,45,1.003,s
61.00,100,-69,45,1.000,s
62.00,100,-67,45,1.000,s
63.00,100,-65,41,1.000,s
64.00,100,-62,37,1.000,s
65.00,100,-59,32,1.000,s
66.00,100,-54,28,1.000,s
67.00,100,-50,24,1.000,s
68.00,100,-45,21,1.007,s
69.00,100,-41,18,1.017,s
70.00,100,-36,16,1.008,s
71.00,100,-31,14,1.000,s
72.00,100,-27,12,1.000,s
73.00,100,-22,11,1.000,s
74.00,100,-18,9,1.000,s
75.00,100,-13,8,1.000,s
76.00,100,-9,6,1.000,s
77.00,100,-5,4,1.001,s
78.00,100,-1,2,1.009,s
79.00,100,4,-1,1.013,s
80.00,100,9,-4,1.024,s
81.00,100,14,-8,1.024,s
82.00,100,20,-12,1.018,s
83.00,100,26,-17,1.000,s
84.00,100,33,-22,1.000,s
85.00,100,41,-28,1.000,s
86.00,100,49,-33,1.000,s
87.00,100,58,-39,1.000,s
88.00,100,68,-45,1.000,s
89.00,100,78,-45,1.000,s
90.00,100,88,-45,1.000,s
91.00,100,98,-45,1.000,s
92.00,100,108,-45,1.008,s
93.00,100,118,-45,1.025,s
94.00,100,128,-45,1.029,s
95.00,100,136,-45,1.044,s
96.00,100,144,-45,1.058,s
97.00,100,150,-45,1.065,s
98.00,100,154,-45,1.089,s
99.00,100,157,-45,1.110,s
100.00,100,158,-45,1.123,s
