#audio_path
#syntax_ver:1.0
#time[%], volume[%], azimuth[degree], elevation[degree], distance[metre], spherical(s)/cartesian(c)
00.00,100,321,3,1.264,s
01.00,100,313,3,1.343,s
02.00,100,301,4,1.422,s
03.00,100,295,3,1.501,s
04.00,100,292,5,1.529,s
05.00,100,288,0,1.536,s
06.00,100,283,-4,1.553,s
07.00,100,279,-5,1.632,s
08.00,100,278,-2,1.711,s
09.00,100,278,1,1.790,s
10.00,100,275,2,1.818,s
11.00,100,274,2,1.809,s
12.00,100,269,1,1.789,s
13.00,100,264,2,1.798,s
14.00,100,259,3,1.782,s
15.00,100,247,5,1.751,s
16.00,100,237,6,1.700,s
17.00,100,230,11,1.621,s
18.00,100,218,13,1.542,s
19.00,100,209,15,1.463,s
20.00,100,199,15,1.429,s
21.00,100,188,15,1.364,s
22.00,100,177,13,1.285,s
23.00,100,179,16,1.231,s
24.00,100,182,19,1.189,s
25.00,100,185,21,1.153,s
26.00,100,196,22,1.094,s
27.00,100,205,22,1.064,s
28.00,100,215,22,1.077,s
29.00,100,219,21,1.066,s
30.00,100,225,20,1.145,s
31.00,100,230,19,1.091,s
32.00,100,234,14,1.122,s
33.00,100,237,10,1.111,s
34.00,100,249,6,1.112,s
35.00,100,258,5,1.117,s
36.00,100,268,4,1.090,s
37.00,100,274,5,1.041,s
38.00,100,278,9,1.033,s
39.00,100,281,13,1.027,s
40.00,100,281,12,1.052,s
41.00,100,293,11,1.044,s
42.00,100,305,12,1.021,s
43.00,100,315,14,1.000,s
44.00,100,323,19,1.000,s
45.00,100,322,24,1.011,s
46.00,100,322,29,1.000,s
47.00,100,324,32,1.000,s
48.00,100,323,35,1.000,s
49.00,100,326,37,1.000,s
50.00,100,330,39,1.000,s
51.00,100,330,37,1.000,s
52.00,100,331,38,1.000,s
53.00,100,333,38,1.000,s
54.00,100,322,37,1.000,s
55.00,100,311,37,1.000,s
56.00,100,303,36,1.048,s
57.00,100,294,36,1.064,s
58.00,100,284,35,1.071,s
59.00,100,272,34,1.097,s
60.00,100,260,32,1.100,s
61.00,100,266,30,1.135,s
62.00,100,273,27,1.188,s
63.00,100,281,25,1.202,s
64.00,100,292,26,1.222,s
65.00,100,297,27,1.206,s
66.00,100,303,28,1.220,s
67.00,100,306,27,1.225,s
68.00,100,305,27,1.260,s
69.00,100,312,24,1.267,s
70.00,100,321,25,1.275,s
71.00,100,328,27,1.196,s
72.00,100,334,29,1.117,s
73.00,100,342,29,1.091,s
74.00,100,349,29,1.069,s
75.00,100,354,28,1.020,s
76.00,100,366,29,1.000,s
77.00,100,377,31,1.041,s
78.00,100,383,32,1.064,s
79.00,100,389,32,1.104,s
80.00,100,395,31,1.137,s
81.00,100,402,31,1.129,s
82.00,100,394,30,1.127,s
83.00,100,396,30,1.096,s
84.00,100,400,32,1.049,s
85.00,100,408,32,1.124,s
86.00,100,410,32,1.203,s
87.00,100,409,31,1.268,s
88.00,100,404,30,1.205,s
89.00,100,401,30,1.126,s
90.00,100,389,25,1.047,s
91.00,100,378,20,1.000,s
92.00,100,367,16,1.000,s
93.00,100,359,12,1.000,s
94.00,100,357,9,1.008,s
95.00,100,351,5,1.048,s
96.00,100,347,4,1.092,s
97.00,100,354,4,1.127,s
98.00,100,361,3,1.165,s
99.00,100,369,1,1.198,s
100.00,100,375,-1,1.229,s
