#audio_path
#syntax_ver:1.0
#time[%], volume[%], azimuth[degree], elevation[degree], distance[metre], spherical(s)/cartesian(c)
0,100,-45.000,0.000,2.828,s
5,100,-43.452,0.000,2.617,s
10,100,-41.634,0.000,2.408,s
15,100,-39.472,0.000,2.202,s
20,100,-36.870,0.000,2.000,s
25,100,-33.690,0.000,1.803,s
30,100,-29.745,0.000,1.612,s
35,100,-24.775,0.000,1.432,s
40,100,-18.435,0.000,1.265,s
45,100,-10.305,0.000,1.118,s
50,100,0.000,0.000,1.000,s
55,100,10.305,0.000,1.118,s
60,100,18.435,0.000,1.265,s
65,100,24.775,0.000,1.432,s
70,100,29.745,0.000,1.612,s
75,100,33.690,0.000,1.803,s
80,100,36.870,0.000,2.000,s
85,100,39.472,0.000,2.202,s
90,100,41.634,0.000,2.408,s
95,100,43.452,0.000,2.617,s
100,100,45.000,0.000,2.828,s
