#audio_path
#syntax_ver:1.0
#time[%], volume[%], azimuth[degree], elevation[degree], distance[metre], spherical(s)/cartesian(c)
0,100,202.500,0.000,1.000,s
5,100,202.500,-3.576,1.202,s
10,100,202.500,-6.116,1.408,s
15,100,202.500,-8.005,1.616,s
20,100,202.500,-9.462,1.825,s
25,100,202.500,-10.620,2.035,s
30,100,202.500,-11.560,2.246,s
35,100,202.500,-12.339,2.457,s
40,100,202.500,-12.995,2.668,s
45,100,202.500,-13.554,2.880,s
50,100,202.500,-14.036,3.092,s
55,100,202.500,-14.457,3.305,s
60,100,202.500,-14.826,3.517,s
65,100,202.500,-15.154,3.730,s
70,100,202.500,-15.446,3.942,s
75,100,202.500,-15.709,4.155,s
80,100,202.500,-15.945,4.368,s
85,100,202.500,-16.160,4.581,s
90,100,202.500,-16.356,4.794,s
95,100,202.500,-16.535,5.007,s
100,100,202.500,-16.699,5.220,s
