#audio_path
#syntax_ver:1.0
#time[%], volume[%], azimuth[degree], elevation[degree], distance[metre], spherical(s)/cartesian(c)
00.00,100,210,-3,2.359,s
01.00,100,214,-1,2.336,s
02.00,100,217,-1,2.264,s
03.00,100,216,-1,2.198,s
04.00,100,215,-2,2.119,s
05.00,100,213,-3,2.047,s
06.00,100,212,-5,1.971,s
07.00,100,213,-6,1.991,s
08.00,100,225,-8,2.001,s
09.00,100,232,-6,1.981,s
10.00,100,236,-6,1.941,s
11.00,100,240,-10,1.926,s
12.00,100,251,-14,1.910,s
13.00,100,263,-17,1.918,s
14.00,100,274,-22,1.935,s
15.00,100,285,-27,1.948,s
16.00,100,293,-31,1.974,s
17.00,100,305,-32,1.965,s
18.00,100,304,-33,1.958,s
19.00,100,303,-32,1.959,s
20.00,100,303,-31,1.948,s
21.00,100,291,-30,1.909,s
22.00,100,283,-29,1.896,s
23.00,100,274,-28,1.876,s
24.00,100,264,-29,1.924,s
25.00,100,255,-28,1.958,s
26.00,100,247,-26,1.910,s
27.00,100,244,-26,1.898,s
28.00,100,241,-24,1.890,s
29.00,100,238,-22,1.933,s
30.00,100,240,-20,1.965,s
31.00,100,245,-19,1.976,s
32.00,100,249,-16,1.950,s
33.00,100,254,-15,1.901,s
34.00,100,254,-14,1.894,s
35.00,100,242,-14,1.912,s
36.00,100,231,-18,1.942,s
37.00,100,225,-21,1.873,s
38.00,100,224,-25,1.794,s
39.00,100,221,-27,1.728,s
40.00,100,219,-28,1.712,s
41.00,100,207,-23,1.678,s
42.00,100,200,-19,1.669,s
43.00,100,194,-15,1.661,s
44.00,100,186,-14,1.678,s
45.00,100,178,-12,1.724,s
46.00,100,169,-10,1.751,s
47.00,100,161,-9,1.773,s
48.00,100,156,-9,1.793,s
49.00,100,153,-10,1.837,s
50.00,100,150,-8,1.859,s
51.00,100,145,-8,1.899,s
52.00,100,141,-8,1.935,s
53.00,100,141,-11,2.014,s
54.00,100,139,-13,1.963,s
55.00,100,138,-9,1.963,s
56.00,100,139,-4,1.929,s
57.00,100,129,-1,1.887,s
58.00,100,119,1,1.966,s
59.00,100,112,3,2.006,s
60.00,100,103,5,2.044,s
61.00,100,94,7,2.046,s
62.00,100,84,2,2.046,s
63.00,100,79,-1,2.063,s
64.00,100,67,-1,2.050,s
65.00,100,59,-5,2.043,s
66.00,100,54,-6,2.054,s
67.00,100,49,-6,2.038,s
68.00,100,45,-5,2.048,s
69.00,100,44,-5,1.975,s
70.00,100,44,-5,1.912,s
71.00,100,45,-4,1.842,s
72.00,100,45,-4,1.763,s
73.00,100,40,-9,1.725,s
74.00,100,38,-14,1.733,s
75.00,100,37,-18,1.757,s
76.00,100,33,-18,1.739,s
77.00,100,30,-17,1.718,s
78.00,100,25,-16,1.719,s
79.00,100,23,-13,1.695,s
80.00,100,23,-10,1.687,s
81.00,100,33,-9,1.684,s
82.00,100,44,-7,1.679,s
83.00,100,54,-5,1.678,s
84.00,100,64,-2,1.706,s
85.00,100,73,0,1.698,s
86.00,100,81,2,1.684,s
87.00,100,83,3,1.641,s
88.00,100,81,4,1.616,s
89.00,100,83,7,1.576,s
90.00,100,82,9,1.528,s
91.00,100,77,11,1.466,s
92.00,100,81,14,1.432,s
93.00,100,85,17,1.353,s
94.00,100,89,19,1.279,s
95.00,100,101,20,1.239,s
96.00,100,113,25,1.175,s
97.00,100,121,28,1.127,s
98.00,100,130,31,1.128,s
99.00,100,136,32,1.161,s
100.00,100,143,33,1.181,s
