#audio_path
#syntax_ver:1.0
#time[%], volume[%], azimuth[degree], elevation[degree], distance[metre], spherical(s)/cartesian(c)
0,100,-153.435,0.000,2.236,s
5,100,-150.945,2.780,2.062,s
10,100,-147.995,6.051,1.897,s
15,100,-144.462,9.891,1.746,s
20,100,-140.194,14.363,1.612,s
25,100,-135.000,19.471,1.500,s
30,100,-128.660,25.104,1.414,s
35,100,-120.964,30.974,1.360,s
40,100,-111.801,36.604,1.342,s
45,100,-101.310,41.429,1.360,s
50,100,-90.000,45.000,1.414,s
55,100,-78.690,41.429,1.360,s
60,100,-68.199,36.604,1.342,s
65,100,-59.036,30.974,1.360,s
70,100,-51.340,25.104,1.414,s
75,100,-45.000,19.471,1.500,s
80,100,-39.806,14.363,1.612,s
85,100,-35.538,9.891,1.746,s
90,100,-32.005,6.051,1.897,s
95,100,-29.055,2.780,2.062,s
100,100,-26.565,0.000,2.236,s
