#audio_path
#syntax_ver:1.0
#time[%], volume[%], azimuth[degree], elevation[degree], distance[metre], spherical(s)/cartesian(c)
00.00,100,0,-6,1.957,s
01.00,100,0,-7,1.919,s
02.00,100,0,-6,1.872,s
03.00,100,0,-6,1.896,s
04.00,100,1,-4,1.950,s
05.00,100,2,1,2.029,s
06.00,100,3,6,2.062,s
07.00,100,4,10,2.089,s
08.00,100,6,12,2.093,s
09.00,100,7,13,2.116,s
10.00,100,9,13,2.133,s
11.00,100,10,12,2.079,s
12.00,100,12,11,2.012,s
13.00,100,14,10,1.942,s
14.00,100,16,10,1.920,s
15.00,100,17,15,1.878,s
16.00,100,19,19,1.806,s
17.00,100,21,22,1.772,s
18.00,100,23,25,1.735,s
19.00,100,25,27,1.680,s
20.00,100,27,28,1.647,s
21.00,100,29,30,1.611,s
22.00,100,30,26,1.618,s
23.00,100,32,24,1.612,s
24.00,100,34,21,1.614,s
25.00,100,36,20,1.614,s
26.00,100,38,20,1.639,s
27.00,100,40,18,1.680,s
28.00,100,42,17,1.713,s
29.00,100,44,15,1.749,s
30.00,100,46,13,1.749,s
31.00,100,48,15,1.756,s
32.00,100,50,16,1.791,s
33.00,100,52,16,1.835,s
34.00,100,53,14,1.884,s
35.00,100,55,13,1.885,s
36.00,100,57,11,1.964,s
37.00,100,59,9,2.043,s
38.00,100,61,9,2.122,s
39.00,100,63,9,2.156,s
40.00,100,65,10,2.218,s
41.00,100,67,9,2.297,s
42.00,100,69,10,2.360,s
43.00,100,71,10,2.293,s
44.00,100,73,10,2.275,s
45.00,100,75,9,2.239,s
46.00,100,76,9,2.189,s
47.00,100,78,11,2.150,s
48.00,100,80,10,2.141,s
49.00,100,82,10,2.169,s
50.00,100,84,10,2.209,s
51.00,100,86,10,2.218,s
52.00,100,88,11,2.210,s
53.00,100,90,10,2.178,s
54.00,100,92,9,2.099,s
55.00,100,94,8,2.047,s
56.00,100,96,4,1.970,s
57.00,100,98,1,1.891,s
58.00,100,99,-1,1.829,s
59.00,100,101,1,1.805,s
60.00,100,103,4,1.842,s
61.00,100,105,5,1.883,s
62.00,100,107,8,1.962,s
63.00,100,109,12,2.034,s
64.00,100,111,13,2.084,s
65.00,100,113,18,2.089,s
66.00,100,115,20,2.103,s
67.00,100,117,20,2.077,s
68.00,100,119,21,2.043,s
69.00,100,121,21,2.029,s
70.00,100,122,20,2.000,s
71.00,100,124,17,2.002,s
72.00,100,126,16,1.990,s
73.00,100,128,17,2.069,s
74.00,100,130,19,2.134,s
75.00,100,132,20,2.213,s
76.00,100,134,20,2.252,s
77.00,100,136,18,2.317,s
78.00,100,138,16,2.337,s
79.00,100,140,15,2.344,s
80.00,100,142,16,2.335,s
81.00,100,144,15,2.414,s
82.00,100,145,14,2.493,s
83.00,100,147,15,2.572,s
84.00,100,149,15,2.623,s
85.00,100,151,16,2.697,s
86.00,100,153,16,2.759,s
87.00,100,155,17,2.769,s
88.00,100,157,19,2.774,s
89.00,100,159,21,2.716,s
90.00,100,161,24,2.669,s
91.00,100,163,27,2.614,s
92.00,100,165,30,2.600,s
93.00,100,167,32,2.567,s
94.00,100,168,30,2.518,s
95.00,100,170,30,2.497,s
96.00,100,172,31,2.418,s
97.00,100,174,33,2.362,s
98.00,100,176,35,2.309,s
99.00,100,178,36,2.255,s
100.00,100,180,38,2.293,s
