#audio_path
#syntax_ver:1.0
#time[%], volume[%], azimuth[degree], elevation[degree], distance[metre], spherical(s)/cartesian(c)
00.00,100,90,9,1.919,s
01.00,100,90,10,1.874,s
02.00,100,90,12,1.885,s
03.00,100,91,13,1.920,s
04.00,100,92,18,1.970,s
05.00,100,94,22,1.974,s
06.00,100,96,24,1.960,s
07.00,100,98,25,1.912,s
08.00,100,100,27,1.869,s
09.00,100,102,26,1.832,s
10.00,100,105,24,1.803,s
11.00,100,107,24,1.793,s
12.00,100,110,24,1.815,s
13.00,100,113,24,1.833,s
14.00,100,115,24,1.807,s
15.00,100,118,24,1.734,s
16.00,100,121,24,1.655,s
17.00,100,124,23,1.598,s
18.00,100,126,22,1.549,s
19.00,100,129,23,1.480,s
20.00,100,132,19,1.407,s
21.00,100,135,16,1.368,s
22.00,100,138,12,1.331,s
23.00,100,140,9,1.298,s
24.00,100,143,8,1.290,s
25.00,100,146,8,1.222,s
26.00,100,149,7,1.252,s
27.00,100,152,6,1.243,s
28.00,100,155,7,1.202,s
29.00,100,158,5,1.147,s
30.00,100,160,5,1.068,s
31.00,100,163,3,1.037,s
32.00,100,166,3,1.000,s
33.00,100,169,-1,1.000,s
34.00,100,172,-6,1.000,s
35.00,100,175,-9,1.000,s
36.00,100,177,-12,1.000,s
37.00,100,180,-16,1.011,s
38.00,100,183,-18,1.000,s
39.00,100,186,-20,1.000,s
40.00,100,189,-18,1.002,s
41.00,100,192,-17,1.000,s
42.00,100,195,-17,1.000,s
43.00,100,197,-18,1.000,s
44.00,100,200,-18,1.000,s
45.00,100,203,-18,1.000,s
46.00,100,206,-20,1.038,s
47.00,100,209,-20,1.030,s
48.00,100,212,-22,1.000,s
49.00,100,215,-21,1.000,s
50.00,100,217,-21,1.000,s
51.00,100,220,-16,1.000,s
52.00,100,223,-14,1.000,s
53.00,100,226,-11,1.000,s
54.00,100,229,-7,1.006,s
55.00,100,232,-3,1.007,s
56.00,100,234,0,1.000,s
57.00,100,237,2,1.004,s
58.00,100,240,5,1.005,s
59.00,100,243,4,1.000,s
60.00,100,246,8,1.000,s
61.00,100,249,11,1.002,s
62.00,100,252,14,1.041,s
63.00,100,254,16,1.103,s
64.00,100,257,19,1.154,s
65.00,100,260,19,1.095,s
66.00,100,263,20,1.072,s
67.00,100,266,21,1.040,s
68.00,100,269,22,1.000,s
69.00,100,272,23,1.000,s
70.00,100,274,24,1.000,s
71.00,100,277,27,1.000,s
72.00,100,280,28,1.000,s
73.00,100,283,29,1.026,s
74.00,100,286,31,1.067,s
75.00,100,289,30,1.087,s
76.00,100,292,30,1.138,s
77.00,100,294,33,1.188,s
78.00,100,297,38,1.220,s
79.00,100,300,41,1.281,s
80.00,100,303,42,1.335,s
81.00,100,306,42,1.403,s
82.00,100,309,42,1.482,s
83.00,100,312,41,1.550,s
84.00,100,314,38,1.568,s
85.00,100,317,35,1.586,s
86.00,100,320,34,1.585,s
87.00,100,323,35,1.506,s
88.00,100,326,35,1.478,s
89.00,100,329,35,1.481,s
90.00,100,331,34,1.486,s
91.00,100,334,33,1.455,s
92.00,100,337,30,1.496,s
93.00,100,340,28,1.518,s
94.00,100,343,26,1.577,s
95.00,100,346,25,1.656,s
96.00,100,349,25,1.684,s
97.00,100,351,24,1.681,s
98.00,100,354,24,1.602,s
99.00,100,357,23,1.539,s
100.00,100,360,24,1.508,s
