#audio_path
#syntax_ver:1.0
#time[%], volume[%], azimuth[degree], elevation[degree], distance[metre], spherical(s)/cartesian(c)
00.00,100,16,-45,2.398,s
01.00,100,8,-45,2.385,s
02.00,100,0,-45,2.384,s
03.00,100,-7,-45,2.384,s
04.00,100,-12,-45,2.367,s
05.00,100,-16,-45,2.347,s
06.00,100,-18,-45,2.318,s
07.00,100,-19,-45,2.292,s
08.00,100,-18,-45,2.277,s
09.00,100,-16,-45,2.273,s
10.00,100,-12,-38,2.280,s
11.00,100,-7,-28,2.299,s
12.00,100,0,-19,2.321,s
13.00,100,7,-9,2.349,s
14.00,100,15,1,2.366,s
15.00,100,23,10,2.372,s
16.00,100,32,19,2.383,s
17.00,100,40,28,2.376,s
18.00,100,48,35,2.372,s
19.00,100,55,42,2.358,s
20.00,100,61,45,2.361,s
21.00,100,65,45,2.355,s
22.00,100,69,45,2.352,s
23.00,100,70,45,2.344,s
24.00,100,71,45,2.329,s
25.00,100,70,45,2.300,s
26.00,100,67,45,2.285,s
27.00,100,63,45,2.269,s
28.00,100,58,45,2.240,s
29.00,100,51,44,2.209,s
30.00,100,44,39,2.191,s
31.00,100,37,34,2.163,s
32.00,100,29,29,2.154,s
33.00,100,21,23,2.148,s
34.00,100,13,18,2.136,s
35.00,100,6,13,2.128,s
36.00,100,0,9,2.120,s
37.00,100,-5,5,2.123,s
38.00,100,-9,2,2.111,s
39.00,100,-12,0,2.114,s
40.00,100,-14,-1,2.126,s
41.00,100,-13,-2,2.151,s
42.00,100,-12,-2,2.188,s
43.00,100,-9,-2,2.230,s
44.00,100,-5,-1,2.267,s
45.00,100,0,1,2.293,s
46.00,100,6,2,2.305,s
47.00,100,13,4,2.310,s
48.00,100,20,6,2.311,s
49.00,100,27,8,2.316,s
50.00,100,35,9,2.336,s
51.00,100,42,10,2.360,s
52.00,100,48,11,2.389,s
53.00,100,54,11,2.430,s
54.00,100,58,10,2.460,s
55.00,100,62,8,2.486,s
56.00,100,64,6,2.517,s
57.00,100,65,3,2.552,s
58.00,100,64,-1,2.582,s
59.00,100,63,-6,2.617,s
60.00,100,60,-11,2.646,s
61.00,100,56,-17,2.658,s
62.00,100,51,-23,2.654,s
63.00,100,45,-29,2.665,s
64.00,100,39,-35,2.667,s
65.00,100,32,-41,2.680,s
66.00,100,25,-45,2.680,s
67.00,100,19,-45,2.675,s
68.00,100,13,-45,2.658,s
69.00,100,7,-45,2.642,s
70.00,100,2,-45,2.615,s
71.00,100,-2,-45,2.587,s
72.00,100,-5,-45,2.576,s
73.00,100,-7,-45,2.570,s
74.00,100,-7,-45,2.580,s
75.00,100,-7,-45,2.583,s
76.00,100,-5,-45,2.585,s
77.00,100,-2,-39,2.583,s
78.00,100,2,-32,2.582,s
79.00,100,6,-23,2.592,s
80.00,100,12,-14,2.600,s
81.00,100,17,-4,2.599,s
82.00,100,23,6,2.607,s
83.00,100,29,16,2.611,s
84.00,100,35,26,2.598,s
85.00,100,41,36,2.595,s
86.00,100,46,44,2.601,s
87.00,100,50,45,2.593,s
88.00,100,54,45,2.587,s
89.00,100,56,45,2.598,s
90.00,100,58,45,2.593,s
91.00,100,58,45,2.572,s
92.00,100,58,45,2.555,s
93.00,100,56,45,2.536,s
94.00,100,53,45,2.523,s
95.00,100,50,45,2.523,s
96.00,100,46,45,2.520,s
97.00,100,41,45,2.514,s
98.00,100,36,45,2.526,s
99.00,100,30,45,2.546,s
100.00,100,25,40,2.562,s
