#audio_path
#syntax_ver:1.0
#time[%], volume[%], azimuth[degree], elevation[degree], distance[metre], spherical(s)/cartesian(c)
0,100,90.000,0.000,1.000,s
5,100,90.000,0.000,1.200,s
10,100,90.000,0.000,1.400,s
15,100,90.000,0.000,1.600,s
20,100,90.000,0.000,1.800,s
25,100,90.000,0.000,2.000,s
30,100,90.000,0.000,2.200,s
35,100,90.000,0.000,2.400,s
40,100,90.000,0.000,2.600,s
45,100,90.000,0.000,2.800,s
50,100,90.000,0.000,3.000,s
55,100,90.000,0.000,3.200,s
60,100,90.000,0.000,3.400,s
65,100,90.000,0.000,3.600,s
70,100,90.000,0.000,3.800,s
75,100,90.000,0.000,4.000,s
80,100,90.000,0.000,4.200,s
85,100,90.000,0.000,4.400,s
90,100,90.000,0.000,4.600,s
95,100,90.000,0.000,4.800,s
100,100,90.000,0.000,5.000,s
