#audio_path
#syntax_ver:1.0
#time[%], volume[%], azimuth[degree], elevation[degree], distance[metre], spherical(s)/cartesian(c)
00.00,100,90,-1,1.947,s
01.00,100,91,1,1.876,s
02.00,100,92,2,1.805,s
03.00,100,94,3,1.763,s
04.00,100,96,7,1.728,s
05.00,100,98,9,1.692,s
06.00,100,100,12,1.744,s
07.00,100,102,13,1.772,s
08.00,100,104,16,1.851,s
09.00,100,107,18,1.927,s
10.00,100,109,20,1.989,s
11.00,100,112,20,2.039,s
12.00,100,115,19,2.074,s
13.00,100,117,17,2.099,s
14.00,100,120,15,2.121,s
15.00,100,123,14,2.146,s
16.00,100,125,13,2.135,s
17.00,100,128,8,2.163,s
18.00,100,131,6,2.205,s
19.00,100,134,7,2.223,s
20.00,100,136,3,2.225,s
21.00,100,139,-1,2.260,s
22.00,100,142,-3,2.319,s
23.00,100,145,-3,2.369,s
24.00,100,148,-3,2.374,s
25.00,100,150,-4,2.453,s
26.00,100,153,0,2.525,s
27.00,100,156,4,2.604,s
28.00,100,159,6,2.613,s
29.00,100,162,8,2.594,s
30.00,100,164,9,2.610,s
31.00,100,167,9,2.647,s
32.00,100,170,11,2.630,s
33.00,100,173,11,2.584,s
34.00,100,175,13,2.505,s
35.00,100,178,18,2.426,s
36.00,100,181,22,2.391,s
37.00,100,184,26,2.381,s
38.00,100,187,31,2.335,s
39.00,100,189,35,2.331,s
40.00,100,192,39,2.347,s
41.00,100,195,43,2.364,s
42.00,100,198,45,2.406,s
43.00,100,201,45,2.485,s
44.00,100,203,45,2.564,s
45.00,100,206,45,2.612,s
46.00,100,209,45,2.651,s
47.00,100,212,43,2.709,s
48.00,100,215,41,2.788,s
49.00,100,217,39,2.822,s
50.00,100,220,38,2.828,s
51.00,100,223,34,2.827,s
52.00,100,226,30,2.846,s
53.00,100,229,26,2.822,s
54.00,100,231,21,2.768,s
55.00,100,234,20,2.715,s
56.00,100,237,19,2.658,s
57.00,100,240,20,2.656,s
58.00,100,243,21,2.638,s
59.00,100,245,26,2.602,s
60.00,100,248,30,2.635,s
61.00,100,251,33,2.666,s
62.00,100,254,37,2.679,s
63.00,100,257,40,2.655,s
64.00,100,259,41,2.621,s
65.00,100,262,43,2.613,s
66.00,100,265,44,2.637,s
67.00,100,268,44,2.688,s
68.00,100,271,43,2.740,s
69.00,100,273,43,2.766,s
70.00,100,276,42,2.822,s
71.00,100,279,42,2.751,s
72.00,100,282,43,2.672,s
73.00,100,285,45,2.607,s
74.00,100,287,45,2.537,s
75.00,100,290,45,2.478,s
76.00,100,293,45,2.458,s
77.00,100,296,45,2.537,s
78.00,100,298,45,2.591,s
79.00,100,301,45,2.670,s
80.00,100,304,45,2.697,s
81.00,100,307,45,2.722,s
82.00,100,310,45,2.801,s
83.00,100,312,45,2.759,s
84.00,100,315,45,2.719,s
85.00,100,318,44,2.719,s
86.00,100,321,44,2.694,s
87.00,100,324,44,2.683,s
88.00,100,326,44,2.643,s
89.00,100,329,45,2.572,s
90.00,100,332,45,2.493,s
91.00,100,335,45,2.414,s
92.00,100,338,44,2.355,s
93.00,100,340,45,2.340,s
94.00,100,343,45,2.367,s
95.00,100,346,45,2.331,s
96.00,100,349,45,2.308,s
97.00,100,352,45,2.291,s
98.00,100,354,45,2.242,s
99.00,100,357,45,2.230,s
100.00,100,360,45,2.270,s
