#audio_path
#syntax_ver:1.0
#time[%], volume[%], azimuth[degree], elevation[degree], distance[metre], spherical(s)/cartesian(c)
00.00,100,238,-8,1.285,s
01.00,100,239,-7,1.293,s
02.00,100,245,-6,1.214,s
03.00,100,248,-7,1.162,s
04.00,100,252,-7,1.092,s
05.00,100,258,-4,1.013,s
06.00,100,263,-3,1.000,s
07.00,100,265,-3,1.000,s
08.00,100,267,-3,1.022,s
09.00,100,267,-2,1.047,s
10.00,100,266,-2,1.068,s
11.00,100,277,0,1.086,s
12.00,100,289,1,1.108,s
13.00,100,299,1,1.092,s
14.00,100,304,1,1.111,s
15.00,100,316,3,1.130,s
16.00,100,322,5,1.051,s
17.00,100,324,7,1.000,s
18.00,100,336,10,1.000,s
19.00,100,344,13,1.000,s
20.00,100,352,16,1.000,s
21.00,100,355,17,1.000,s
22.00,100,356,14,1.010,s
23.00,100,356,15,1.062,s
24.00,100,353,18,1.141,s
25.00,100,352,15,1.188,s
26.00,100,354,14,1.241,s
27.00,100,354,12,1.317,s
28.00,100,357,11,1.396,s
29.00,100,357,9,1.434,s
30.00,100,345,7,1.432,s
31.00,100,335,6,1.402,s
32.00,100,329,5,1.348,s
33.00,100,323,5,1.328,s
34.00,100,320,4,1.287,s
35.00,100,322,-1,1.269,s
36.00,100,328,-4,1.222,s
37.00,100,339,-5,1.147,s
38.00,100,351,-7,1.079,s
39.00,100,363,-4,1.003,s
40.00,100,368,0,1.000,s
41.00,100,377,1,1.000,s
42.00,100,387,3,1.000,s
43.00,100,394,7,1.000,s
44.00,100,400,10,1.000,s
45.00,100,405,11,1.000,s
46.00,100,409,12,1.000,s
47.00,100,415,12,1.000,s
48.00,100,419,12,1.020,s
49.00,100,420,13,1.038,s
50.00,100,424,13,1.051,s
51.00,100,429,13,1.080,s
52.00,100,430,12,1.137,s
53.00,100,431,10,1.203,s
54.00,100,431,8,1.282,s
55.00,100,434,5,1.338,s
56.00,100,436,4,1.346,s
57.00,100,436,3,1.374,s
58.00,100,438,2,1.295,s
59.00,100,441,1,1.231,s
60.00,100,443,0,1.152,s
61.00,100,441,3,1.107,s
62.00,100,437,8,1.028,s
63.00,100,433,10,1.000,s
64.00,100,433,12,1.000,s
65.00,100,434,15,1.000,s
66.00,100,438,17,1.000,s
67.00,100,438,19,1.000,s
68.00,100,450,19,1.000,s
69.00,100,462,19,1.000,s
70.00,100,469,18,1.000,s
71.00,100,477,17,1.000,s
72.00,100,487,15,1.000,s
73.00,100,494,14,1.000,s
74.00,100,501,14,1.015,s
75.00,100,513,13,1.007,s
76.00,100,523,11,1.025,s
77.00,100,524,8,1.009,s
78.00,100,521,7,1.000,s
79.00,100,517,6,1.000,s
80.00,100,513,3,1.000,s
81.00,100,509,2,1.000,s
82.00,100,509,2,1.000,s
83.00,100,507,0,1.000,s
84.00,100,505,0,1.019,s
85.00,100,505,-4,1.000,s
86.00,100,508,-7,1.000,s
87.00,100,508,-8,1.000,s
88.00,100,510,-11,1.020,s
89.00,100,512,-12,1.019,s
90.00,100,512,-13,1.034,s
91.00,100,515,-11,1.052,s
92.00,100,511,-12,1.018,s
93.00,100,513,-12,1.000,s
94.00,100,518,-8,1.000,s
95.00,100,519,-4,1.079,s
96.00,100,523,-1,1.071,s
97.00,100,526,2,1.126,s
98.00,100,528,4,1.175,s
99.00,100,527,6,1.193,s
100.00,100,529,3,1.242,s
