#audio_path
#syntax_ver:1.0
#time[%], volume[%], azimuth[degree], elevation[degree], distance[metre], spherical(s)/cartesian(c)
00.00,100,116,-7,1.070,s
01.00,100,119,-7,1.066,s
02.00,100,126,-10,1.045,s
03.00,100,130,-13,1.051,s
04.00,100,127,-15,1.059,s
05.00,100,120,-14,1.072,s
06.00,100,119,-13,1.060,s
07.00,100,122,-11,1.068,s
08.00,100,125,-9,1.057,s
09.00,100,127,-9,1.104,s
10.00,100,130,-7,1.151,s
11.00,100,129,-5,1.104,s
12.00,100,132,-4,1.080,s
13.00,100,138,-2,1.033,s
14.00,100,138,-1,1.001,s
15.00,100,136,2,1.005,s
16.00,100,136,3,1.000,s
17.00,100,139,3,1.000,s
18.00,100,139,1,1.011,s
19.00,100,143,1,1.058,s
20.00,100,149,1,1.049,s
21.00,100,142,3,1.045,s
22.00,100,148,3,1.000,s
23.00,100,152,3,1.000,s
24.00,100,158,6,1.038,s
25.00,100,161,7,1.037,s
26.00,100,155,7,1.040,s
27.00,100,161,7,1.056,s
28.00,100,156,8,1.103,s
29.00,100,154,8,1.128,s
30.00,100,161,8,1.117,s
31.00,100,166,8,1.070,s
32.00,100,160,8,1.056,s
33.00,100,157,8,1.009,s
34.00,100,153,11,1.009,s
35.00,100,147,12,1.000,s
36.00,100,142,14,1.039,s
37.00,100,142,14,1.067,s
38.00,100,143,14,1.089,s
39.00,100,140,13,1.136,s
40.00,100,146,15,1.168,s
41.00,100,146,18,1.166,s
42.00,100,139,20,1.176,s
43.00,100,141,23,1.223,s
44.00,100,142,26,1.254,s
45.00,100,137,27,1.267,s
46.00,100,130,27,1.314,s
47.00,100,129,30,1.322,s
48.00,100,128,28,1.369,s
49.00,100,132,28,1.376,s
50.00,100,134,31,1.423,s
51.00,100,134,32,1.463,s
52.00,100,127,33,1.477,s
53.00,100,130,30,1.474,s
54.00,100,132,28,1.427,s
55.00,100,132,27,1.471,s
56.00,100,133,24,1.509,s
57.00,100,131,25,1.519,s
58.00,100,132,25,1.472,s
59.00,100,130,27,1.454,s
60.00,100,134,29,1.424,s
61.00,100,137,30,1.402,s
62.00,100,138,30,1.376,s
63.00,100,137,31,1.347,s
64.00,100,130,31,1.311,s
65.00,100,132,33,1.328,s
66.00,100,139,35,1.373,s
67.00,100,144,37,1.396,s
68.00,100,149,37,1.443,s
69.00,100,152,37,1.490,s
70.00,100,155,36,1.537,s
71.00,100,156,35,1.561,s
72.00,100,153,33,1.605,s
73.00,100,156,30,1.640,s
74.00,100,156,28,1.648,s
75.00,100,156,28,1.643,s
76.00,100,157,29,1.600,s
77.00,100,158,26,1.553,s
78.00,100,156,23,1.568,s
79.00,100,158,20,1.531,s
80.00,100,163,19,1.563,s
81.00,100,164,20,1.569,s
82.00,100,161,19,1.573,s
83.00,100,158,21,1.620,s
84.00,100,164,22,1.579,s
85.00,100,166,22,1.577,s
86.00,100,167,25,1.624,s
87.00,100,160,26,1.659,s
88.00,100,154,26,1.706,s
89.00,100,153,26,1.737,s
90.00,100,152,29,1.782,s
91.00,100,155,29,1.821,s
92.00,100,155,28,1.820,s
93.00,100,151,31,1.779,s
94.00,100,150,29,1.794,s
95.00,100,153,31,1.794,s
96.00,100,152,29,1.841,s
97.00,100,145,28,1.820,s
98.00,100,151,25,1.867,s
99.00,100,155,22,1.914,s
100.00,100,153,21,1.943,s
