#audio_path
#syntax_ver:1.0
#time[%], volume[%], azimuth[degree], elevation[degree], distance[metre], spherical(s)/cartesian(c)
00.00,100,180,-7,2.627,s
01.00,100,180,-9,2.646,s
02.00,100,180,-11,2.670,s
03.00,100,180,-13,2.641,s
04.00,100,181,-13,2.595,s
05.00,100,182,-15,2.542,s
06.00,100,183,-17,2.548,s
07.00,100,185,-19,2.575,s
08.00,100,186,-21,2.589,s
09.00,100,188,-22,2.611,s
10.00,100,189,-24,2.614,s
11.00,100,191,-26,2.588,s
12.00,100,193,-26,2.604,s
13.00,100,195,-23,2.585,s
14.00,100,196,-18,2.583,s
15.00,100,198,-13,2.610,s
16.00,100,200,-9,2.600,s
17.00,100,202,-5,2.531,s
18.00,100,204,-2,2.462,s
19.00,100,206,-6,2.383,s
20.00,100,207,-10,2.304,s
21.00,100,209,-14,2.225,s
22.00,100,211,-19,2.200,s
23.00,100,213,-24,2.180,s
24.00,100,215,-26,2.182,s
25.00,100,217,-28,2.194,s
26.00,100,219,-28,2.175,s
27.00,100,221,-27,2.138,s
28.00,100,223,-27,2.147,s
29.00,100,225,-25,2.150,s
30.00,100,226,-25,2.146,s
31.00,100,228,-21,2.150,s
32.00,100,230,-18,2.147,s
33.00,100,232,-15,2.165,s
34.00,100,234,-13,2.203,s
35.00,100,236,-13,2.174,s
36.00,100,238,-11,2.183,s
37.00,100,240,-11,2.180,s
38.00,100,242,-10,2.149,s
39.00,100,244,-6,2.175,s
40.00,100,246,-3,2.192,s
41.00,100,247,-1,2.208,s
42.00,100,249,2,2.235,s
43.00,100,251,2,2.229,s
44.00,100,253,2,2.233,s
45.00,100,255,7,2.252,s
46.00,100,257,11,2.238,s
47.00,100,259,14,2.203,s
48.00,100,261,17,2.161,s
49.00,100,263,19,2.146,s
50.00,100,265,20,2.112,s
51.00,100,266,22,2.123,s
52.00,100,268,25,2.117,s
53.00,100,270,27,2.093,s
54.00,100,272,27,2.109,s
55.00,100,274,28,2.142,s
56.00,100,276,29,2.188,s
57.00,100,278,28,2.267,s
58.00,100,280,26,2.346,s
59.00,100,282,29,2.374,s
60.00,100,284,25,2.397,s
61.00,100,286,21,2.384,s
62.00,100,287,17,2.353,s
63.00,100,289,14,2.332,s
64.00,100,291,10,2.317,s
65.00,100,293,7,2.325,s
66.00,100,295,3,2.295,s
67.00,100,297,-1,2.274,s
68.00,100,299,-5,2.219,s
69.00,100,301,-7,2.146,s
70.00,100,303,-8,2.120,s
71.00,100,305,-13,2.146,s
72.00,100,307,-18,2.182,s
73.00,100,308,-22,2.184,s
74.00,100,310,-25,2.164,s
75.00,100,312,-27,2.127,s
76.00,100,314,-28,2.061,s
77.00,100,316,-29,2.022,s
78.00,100,318,-29,1.961,s
79.00,100,320,-28,1.891,s
80.00,100,322,-28,1.812,s
81.00,100,324,-27,1.775,s
82.00,100,326,-27,1.762,s
83.00,100,328,-25,1.727,s
84.00,100,329,-24,1.667,s
85.00,100,331,-23,1.607,s
86.00,100,333,-23,1.675,s
87.00,100,335,-23,1.730,s
88.00,100,337,-24,1.736,s
89.00,100,339,-25,1.721,s
90.00,100,341,-26,1.800,s
91.00,100,343,-27,1.879,s
92.00,100,345,-26,1.958,s
93.00,100,347,-27,2.037,s
94.00,100,349,-27,2.102,s
95.00,100,350,-26,2.141,s
96.00,100,352,-24,2.123,s
97.00,100,354,-23,2.085,s
98.00,100,356,-20,2.069,s
99.00,100,358,-18,2.032,s
100.00,100,360,-15,2.000,s
