#audio_path
#syntax_ver:1.0
#time[%], volume[%], azimuth[degree], elevation[degree], distance[metre], spherical(s)/cartesian(c)
0,100,	-63.43,	0,	2.236,s
5,100,	-60.94,	0,	2.059,s
10,100,	-57.99,	0,	1.886,s
15,100,	-54.46,	0,	1.720,s
20,100,	-50.19,	0,	1.562,s
25,100,	-45,	0,	1.414,s
30,100,	-38.65,	0,	1.280,s
35,100,	-30.96,	0,	1.166,s
40,100,	-21.80,	0,	1.077,s
45,100,	-11.30,	0,	1.019,s
50,100,	0,	0,	1,s
55,100,	11.30,	0,	1.019,s
60,100,	21.80,	0,	1.077,s
65,100,	30.96,	0,	1.166,s
70,100,	38.65,	0,	1.280,s
75,100,	45,	0,	1.414,s
80,100,	50.19,	0,	1.562,s
85,100,	54.46,	0,	1.720,s
90,100,	57.99,	0,	1.886,s
95,100,	60.94,	0,	2.059,s
100,100,63.43,	0,	2.236,s
