#audio_path
#syntax_ver:1.0
#time[%], volume[%], azimuth[degree], elevation[degree], distance[metre], spherical(s)/cartesian(c)
00.00,100,180,-7,2.233,s
01.00,100,182,-8,2.245,s
02.00,100,185,-9,2.166,s
03.00,100,187,-9,2.087,s
04.00,100,189,-12,2.008,s
05.00,100,191,-14,1.929,s
06.00,100,193,-16,1.904,s
07.00,100,195,-20,1.885,s
08.00,100,197,-23,1.812,s
09.00,100,199,-23,1.743,s
10.00,100,201,-19,1.664,s
11.00,100,203,-16,1.607,s
12.00,100,205,-14,1.552,s
13.00,100,206,-14,1.544,s
14.00,100,208,-14,1.569,s
15.00,100,210,-15,1.555,s
16.00,100,212,-14,1.519,s
17.00,100,214,-15,1.511,s
18.00,100,215,-16,1.522,s
19.00,100,217,-17,1.506,s
20.00,100,219,-19,1.457,s
21.00,100,221,-21,1.413,s
22.00,100,222,-18,1.383,s
23.00,100,224,-16,1.331,s
24.00,100,226,-16,1.327,s
25.00,100,228,-11,1.291,s
26.00,100,229,-8,1.238,s
27.00,100,231,-6,1.200,s
28.00,100,233,-6,1.155,s
29.00,100,235,-5,1.103,s
30.00,100,237,-10,1.024,s
31.00,100,238,-12,1.000,s
32.00,100,240,-14,1.000,s
33.00,100,242,-19,1.000,s
34.00,100,244,-22,1.000,s
35.00,100,245,-25,1.002,s
36.00,100,247,-27,1.000,s
37.00,100,249,-27,1.000,s
38.00,100,251,-27,1.010,s
39.00,100,252,-27,1.021,s
40.00,100,254,-28,1.039,s
41.00,100,256,-29,1.075,s
42.00,100,258,-31,1.117,s
43.00,100,259,-35,1.123,s
44.00,100,261,-39,1.089,s
45.00,100,263,-40,1.091,s
46.00,100,265,-43,1.093,s
47.00,100,267,-39,1.084,s
48.00,100,268,-37,1.005,s
49.00,100,270,-36,1.002,s
50.00,100,272,-37,1.000,s
51.00,100,274,-39,1.000,s
52.00,100,275,-41,1.000,s
53.00,100,277,-44,1.000,s
54.00,100,279,-45,1.000,s
55.00,100,281,-45,1.014,s
56.00,100,282,-45,1.046,s
57.00,100,284,-45,1.027,s
58.00,100,286,-44,1.046,s
59.00,100,288,-45,1.025,s
60.00,100,289,-45,1.016,s
61.00,100,291,-45,1.000,s
62.00,100,293,-44,1.000,s
63.00,100,295,-42,1.000,s
64.00,100,297,-40,1.000,s
65.00,100,298,-41,1.000,s
66.00,100,300,-40,1.000,s
67.00,100,302,-39,1.010,s
68.00,100,304,-37,1.004,s
69.00,100,305,-35,1.000,s
70.00,100,307,-30,1.000,s
71.00,100,309,-26,1.000,s
72.00,100,311,-21,1.000,s
73.00,100,312,-16,1.000,s
74.00,100,314,-12,1.000,s
75.00,100,316,-9,1.000,s
76.00,100,318,-7,1.000,s
77.00,100,319,-5,1.000,s
78.00,100,321,-3,1.046,s
79.00,100,323,1,1.074,s
80.00,100,325,5,1.132,s
81.00,100,326,9,1.187,s
82.00,100,328,9,1.211,s
83.00,100,330,9,1.290,s
84.00,100,332,8,1.360,s
85.00,100,334,7,1.389,s
86.00,100,335,9,1.310,s
87.00,100,337,9,1.240,s
88.00,100,339,5,1.208,s
89.00,100,341,3,1.238,s
90.00,100,342,1,1.233,s
91.00,100,344,1,1.220,s
92.00,100,346,2,1.276,s
93.00,100,348,3,1.354,s
94.00,100,349,-2,1.399,s
95.00,100,351,-5,1.407,s
96.00,100,353,-8,1.418,s
97.00,100,355,-11,1.439,s
98.00,100,356,-7,1.485,s
99.00,100,358,-4,1.524,s
100.00,100,360,-1,1.537,s
