#audio_path
#syntax_ver:1.0
#time[%], volume[%], azimuth[degree], elevation[degree], distance[metre], spherical(s)/cartesian(c)
00.00,100,0,16,1.018,s
01.00,100,0,15,1.000,s
02.00,100,1,17,1.000,s
03.00,100,2,20,1.067,s
04.00,100,3,22,1.146,s
05.00,100,4,26,1.200,s
06.00,100,5,28,1.230,s
07.00,100,7,29,1.241,s
08.00,100,8,31,1.235,s
09.00,100,10,32,1.213,s
10.00,100,11,33,1.216,s
11.00,100,13,34,1.225,s
12.00,100,15,36,1.198,s
13.00,100,17,37,1.203,s
14.00,100,18,37,1.190,s
15.00,100,20,36,1.123,s
16.00,100,22,37,1.086,s
17.00,100,24,38,1.020,s
18.00,100,26,37,1.000,s
19.00,100,28,36,1.000,s
20.00,100,29,36,1.000,s
21.00,100,31,35,1.000,s
22.00,100,33,33,1.000,s
23.00,100,35,32,1.000,s
24.00,100,37,30,1.000,s
25.00,100,39,29,1.000,s
26.00,100,41,32,1.023,s
27.00,100,43,34,1.034,s
28.00,100,44,34,1.060,s
29.00,100,46,34,1.078,s
30.00,100,48,29,1.081,s
31.00,100,50,26,1.095,s
32.00,100,52,23,1.077,s
33.00,100,54,19,1.042,s
34.00,100,56,14,1.000,s
35.00,100,58,10,1.000,s
36.00,100,59,5,1.000,s
37.00,100,61,2,1.000,s
38.00,100,63,0,1.000,s
39.00,100,65,-3,1.007,s
40.00,100,67,-6,1.050,s
41.00,100,69,-10,1.049,s
42.00,100,71,-14,1.037,s
43.00,100,73,-17,1.000,s
44.00,100,75,-18,1.000,s
45.00,100,76,-22,1.008,s
46.00,100,78,-26,1.031,s
47.00,100,80,-28,1.110,s
48.00,100,82,-29,1.188,s
49.00,100,84,-29,1.242,s
50.00,100,86,-28,1.294,s
51.00,100,88,-24,1.373,s
52.00,100,90,-21,1.407,s
53.00,100,91,-20,1.436,s
54.00,100,93,-20,1.491,s
55.00,100,95,-19,1.570,s
56.00,100,97,-18,1.628,s
57.00,100,99,-18,1.691,s
58.00,100,101,-19,1.763,s
59.00,100,103,-21,1.803,s
60.00,100,105,-23,1.799,s
61.00,100,107,-26,1.770,s
62.00,100,108,-26,1.763,s
63.00,100,110,-23,1.767,s
64.00,100,112,-26,1.765,s
65.00,100,114,-29,1.787,s
66.00,100,116,-30,1.800,s
67.00,100,118,-35,1.842,s
68.00,100,120,-39,1.836,s
69.00,100,122,-41,1.836,s
70.00,100,123,-42,1.871,s
71.00,100,125,-44,1.883,s
72.00,100,127,-45,1.815,s
73.00,100,129,-45,1.766,s
74.00,100,131,-45,1.756,s
75.00,100,133,-45,1.786,s
76.00,100,135,-41,1.832,s
77.00,100,137,-38,1.876,s
78.00,100,139,-34,1.941,s
79.00,100,140,-31,2.020,s
80.00,100,142,-30,2.062,s
81.00,100,144,-29,2.076,s
82.00,100,146,-28,2.083,s
83.00,100,148,-27,2.092,s
84.00,100,150,-27,2.138,s
85.00,100,152,-27,2.124,s
86.00,100,154,-27,2.143,s
87.00,100,156,-28,2.147,s
88.00,100,157,-29,2.123,s
89.00,100,159,-30,2.105,s
90.00,100,161,-30,2.026,s
91.00,100,163,-31,1.976,s
92.00,100,165,-26,1.909,s
93.00,100,167,-23,1.830,s
94.00,100,169,-20,1.751,s
95.00,100,171,-18,1.685,s
96.00,100,172,-15,1.646,s
97.00,100,174,-13,1.617,s
98.00,100,176,-9,1.608,s
99.00,100,178,-4,1.605,s
100.00,100,180,-1,1.599,s
