#audio_path
#syntax_ver:1.0
#time[%], volume[%], azimuth[degree], elevation[degree], distance[metre], spherical(s)/cartesian(c)
0,100,112.500,0.000,5.000,s
5,100,112.500,0.895,4.801,s
10,100,112.500,1.868,4.602,s
15,100,112.500,2.927,4.406,s
20,100,112.500,4.086,4.211,s
25,100,112.500,5.356,4.018,s
30,100,112.500,6.754,3.827,s
35,100,112.500,8.297,3.638,s
40,100,112.500,10.008,3.453,s
45,100,112.500,11.911,3.270,s
50,100,112.500,14.036,3.092,s
55,100,112.500,16.417,2.919,s
60,100,112.500,19.093,2.751,s
65,100,112.500,22.109,2.590,s
70,100,112.500,25.514,2.438,s
75,100,112.500,29.358,2.295,s
80,100,112.500,33.690,2.163,s
85,100,112.500,38.550,2.046,s
90,100,112.500,43.958,1.945,s
95,100,112.500,49.899,1.863,s
100,100,112.500,56.310,1.803,s
